id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	in_range	in_range_swaps	price_lower	price_upper	price_range	price_mid	wallet
42391	-4	-3	1	960.81236	3298.619612	0	4259.132631	4259.431972	15.525007828490468	10.93	133.04	44%	45%	0.9996	0.9997	0.0001	0.9997	0x664d8f8f2417f52cbbf5bd82ba82eefc58a87f07
39357	-4	-2	2	268.588521	424.408437	693.140742	0	692.996958	2.285717191088792	9.89	120.39	97%	96%	0.9996	0.9998	0.0002	0.9997	0x78266b7341161ad0cbfac66c7fb234f4017bd18b
41084	-4	-2	2	2945.988602	3666.340007	6613.591984	0	6612.328609	18.513795976816134	8.40	102.20	95%	97%	0.9996	0.9998	0.0002	0.9997	0x156e4293477d4371ce37eed4ba084b609e841bcc
42978	-5	-4	1	1707.028742	289.271572	0	1995.544728	1996.300314	5.570349472723164	8.37	101.85	100%	100%	0.9995	0.9996	0.0001	0.9996	0xf87e0a571bfc9fa98bc44442e0084fcbfdc7af39
42401	-4	-3	1	960.497248	2148.803476	3110.08609	0	3109.300724	8.477403334874609	8.18	99.52	53%	45%	0.9996	0.9997	0.0001	0.9997	0xa056c95d109e69667f23b0bd4c5b94a58cbb412a
43008	-5	-4	1	179963.998731	17185.726503	0	197069.548027	197149.725234	533.2563592591773	8.11	98.73	100%	100%	0.9995	0.9996	0.0001	0.9996	0x5ac37964ebcbc68efb51497031ccc355a137dcc5
43039	-5	-4	1	9003.499054	1225.979139	0	10225.481679	10229.478192999999	27.440994022046272	08.05	97.91	100%	100%	0.9995	0.9996	0.0001	0.9996	0x5ac37964ebcbc68efb51497031ccc355a137dcc5
43021	-5	-4	1	15337.654423	1996.468502	0	17327.310956	17334.122925	43.86789429659709	7.59	92.37	100%	100%	0.9995	0.9996	0.0001	0.9996	0xedeed75328937a17749c1a59772e2ec79eb51314
42408	-4	-3	1	4468.420583	9996.652983	14468.727246	0	14465.073566	31.826957845298903	6.60	80.31	64%	51%	0.9996	0.9997	0.0001	0.9997	0x1d098a8d7fa63a39e0884b720f86f9ba8cbbeef1
39231	-3	-2	1	8796.174733	12268.432649	21067.90786	0	21064.607382000002	45.75073314415342	6.52	79.28	100%	98%	0.9997	0.9998	0.0001	0.9998	0x3c948a11c4d5462ace49a505ece7112531b16725
42406	-4	-3	1	3318.181939	7423.364197	10321.326578	422.764427	10741.546136	23.12778267850733	6.46	78.59	100%	100%	0.9996	0.9997	0.0001	0.9997	0x05970c883c8d2db8287edb0c264961001cf2280a
43628	-5	-4	1	5957.398197	1936.279627	0	7891.070664	7893.677824	16.579022369302503	6.30	76.66	86%	75%	0.9995	0.9996	0.0001	0.9996	0x5957145fab56dfe5af988a4f55eda4b205922c1d
42413	-4	-3	1	153.027868	302.311206	455.449975	0	455.33907400000004	0.9496090281394274	6.26	76.12	95%	80%	0.9996	0.9997	0.0001	0.9997	0x43de6c46b54f4dd51f4ecdaaeeed11ac4d11301e
43647	-5	-4	1	91298.938026	21453.894369	0	112712.627651	112752.832395	234.927672574208	6.25	76.05	78%	69%	0.9995	0.9996	0.0001	0.9996	0x897a7f6af47881c62d7ca7e3dc5bd8a1341ad8ae
43699	-5	-4	1	992.416775	236.770864	0	1228.75073	1229.187639	2.5264905194206815	6.17	75.02	88%	76%	0.9995	0.9996	0.0001	0.9996	0x0b5dba032bce476ac1e7af9f1f66c6e7823c5ea4
39277	-3	-2	1	34.298942	50.982629	85.295341	0	85.281571	0.1679078160491153	5.91	71.86	93%	93%	0.9997	0.9998	0.0001	0.9998	0x5db447eb1b37232f1a8020f911b1ca626513de44
43741	-5	-4	1	348.765299	84.914506	0	433.526317	433.67980500000004	0.8522666380681021	5.90	71.73	81%	67%	0.9995	0.9996	0.0001	0.9996	0x470fc8505a95b2312bb58aa47a8542eae8d5fe20
40807	-4	-1	3	849.589761	500	1349.761991	0	1349.589761	2.574483208212014	5.72	69.63	57%	65%	0.9996	0.9999	0.0003	0.9998	0x5e8e79f1d05dff8bfb9ab83fb9ea0c66150e75f5
